	Count
hsa-mir-6794-3p	4
hsa-mir-409-5p	4
hsa-mir-548s	4
hsa-mir-376c-3p	4
hsa-mir-4781-3p	4
hsa-mir-3936	4
hsa-mir-1199-5p	4
hsa-mir-744-3p	4
hsa-mir-4758-3p	4
hsa-mir-6510-3p	4
hsa-mir-639	4
hsa-mir-503-3p	4
hsa-mir-96-3p	4
hsa-mir-3178	4
hsa-mir-548i	4
hsa-mir-5690	4
hsa-mir-4470	4
hsa-mir-1234-3p	4
hsa-mir-4516	4
hsa-mir-3193	4
hsa-mir-3929	4
hsa-mir-3913-5p	4
hsa-mir-1255b-5p	4
hsa-mir-4444	4
hsa-mir-4466	4
hsa-mir-4484	4
hsa-mir-939-3p	4
hsa-mir-145-3p	4
hsa-mir-4753-5p	4
hsa-mir-4640-3p	4
hsa-mir-769-3p	4
hsa-mir-219b-5p	4
hsa-mir-219a-1-3p	4
hsa-mir-6825-3p	4
hsa-mir-410-3p	4
hsa-mir-548az-5p	4
hsa-mir-6727-5p	4
hsa-mir-548ar-5p	4
hsa-mir-4787-5p	4
hsa-mir-548aq-3p	4
hsa-mir-548ay-5p	4
hsa-mir-548x-5p	4
hsa-mir-152-5p	4
hsa-mir-548g-5p	4
hsa-mir-4791	4
hsa-mir-2117	4
hsa-mir-190a-5p	4
hsa-mir-4700-5p	4
hsa-mir-6881-5p	4
hsa-mir-1277-5p	4
hsa-mir-570-5p	4
hsa-mir-10523-5p	4
hsa-mir-652-5p	4
hsa-mir-3940-5p	4
hsa-mir-586	4
hsa-mir-6869-5p	4
hsa-mir-3942-3p	4
hsa-mir-675-5p	4
hsa-mir-1226-5p	4
hsa-mir-4660	3
hsa-mir-3150a-3p	3
hsa-mir-664a-5p	3
hsa-mir-590-5p	3
hsa-mir-6501-3p	3
hsa-mir-4755-5p	3
hsa-mir-3126-5p	3
hsa-mir-4725-5p	3
hsa-mir-3605-3p	3
hsa-mir-32-3p	3
hsa-mir-3173-3p	3
hsa-mir-499b-5p	3
hsa-mir-4722-5p	3
hsa-mir-20a-3p	3
hsa-mir-4700-3p	3
hsa-mir-3200-5p	3
hsa-mir-4763-5p	3
hsa-mir-6783-5p	3
hsa-mir-3139	3
hsa-mir-3610	3
hsa-mir-298	3
hsa-mir-11399	3
hsa-mir-662	3
hsa-mir-4469	3
hsa-mir-4737	3
hsa-mir-4673	3
hsa-mir-622	3
hsa-mir-3116	3
hsa-mir-3919	3
hsa-mir-3618	3
hsa-mir-6770-3p	3
hsa-mir-4672	3
hsa-mir-548an	3
hsa-mir-103a-2-5p	3
hsa-mir-4425	3
hsa-mir-362-5p	3
hsa-mir-142-3p	3
hsa-mir-6726-3p	3
hsa-mir-4659a-3p	3
hsa-mir-3190-3p	3
hsa-mir-638	3
hsa-mir-4485-5p	3
hsa-mir-548d-3p	3
hsa-mir-4677-5p	3
hsa-mir-186-3p	3
hsa-mir-6753-5p	3
hsa-mir-451a	3
hsa-mir-296-5p	3
hsa-mir-3128	3
hsa-mir-409-3p	3
hsa-mir-3609	3
hsa-mir-3170	3
hsa-mir-3145-5p	3
hsa-mir-3194-5p	3
hsa-mir-532-3p	3
hsa-mir-4786-5p	3
hsa-mir-4766-3p	3
hsa-mir-548t-3p	3
hsa-mir-1237-3p	3
hsa-mir-548ai	3
hsa-mir-320e	3
hsa-mir-616-3p	3
hsa-mir-3619-5p	3
hsa-mir-663b	3
hsa-mir-6503-5p	3
hsa-mir-1915-3p	3
hsa-mir-3177-5p	3
hsa-mir-3664-5p	3
hsa-mir-572	3
hsa-mir-3661	3
hsa-mir-6132	3
hsa-mir-4467	3
hsa-mir-4659b-5p	3
hsa-mir-2053	3
hsa-mir-4682	3
hsa-mir-4799-5p	3
hsa-mir-6500-5p	3
hsa-mir-1910-3p	3
hsa-mir-1914-5p	3
hsa-mir-3131	3
hsa-mir-766-5p	3
hsa-mir-3918	3
hsa-mir-4489	3
hsa-mir-542-3p	3
hsa-mir-584-3p	3
hsa-mir-325	3
hsa-mir-1302	3
hsa-mir-5008-3p	3
hsa-mir-3614-3p	3
hsa-mir-497-5p	3
hsa-mir-552-3p	3
hsa-mir-548ae-5p	3
hsa-mir-3198	2
hsa-mir-3657	2
hsa-mir-1253	2
hsa-mir-632	2
hsa-mir-5572	2
hsa-mir-4678	2
