	SRR3174965_trimmed_size.fasta
hsa-mir-142-3p	3
hsa-mir-152-5p	3
hsa-mir-1914-5p	3
hsa-mir-3160-2-3p	3
hsa-mir-6787-3p	3
hsa-mir-3173-3p	3
hsa-mir-3614-3p	3
hsa-mir-20a-3p	3
hsa-mir-4758-3p	3
hsa-mir-590-5p	3
hsa-mir-455-3p	3
hsa-mir-6726-3p	3
hsa-mir-4766-3p	3
hsa-mir-1273h-3p	3
hsa-mir-4466-3p	3
hsa-mir-3940-3p	3
hsa-mir-4737-3p	3
hsa-mir-4470-5p	3
hsa-mir-3168-3p	3
hsa-mir-4451-3p	3
hsa-mir-561-3p	3
hsa-mir-9899-5p	3
hsa-mir-548d-2-3p	3
hsa-mir-4799-5p	3
hsa-mir-548t-5p	3
hsa-mir-1910-3p	3
hsa-mir-548d-1-3p	3
hsa-mir-1266-3p	3
hsa-mir-3661-5p	3
hsa-mir-4722-5p	3
hsa-mir-3940-5p	3
hsa-mir-125b-2-5p	3
hsa-mir-409-3p	3
hsa-mir-548y-5p	3
hsa-mir-4425-3p	3
hsa-mir-6501-3p	3
hsa-mir-1276-3p	3
hsa-mir-6805-3p	3
hsa-mir-3610-3p	3
hsa-mir-3123-3p	3
hsa-mir-664a-5p	3
hsa-mir-103a-1-3p	3
hsa-mir-762-3p	3
hsa-mir-3128-5p	3
hsa-mir-6868-3p	3
hsa-mir-5689-5p	3
hsa-mir-548f-2-5p	3
hsa-mir-3177-5p	3
hsa-mir-362-5p	3
hsa-mir-6783-5p	3
hsa-mir-1226-5p	3
hsa-mir-6132-3p	3
hsa-mir-769-3p	3
hsa-mir-3619-5p	3
hsa-mir-3138-3p	3
hsa-mir-497-5p	3
hsa-mir-4516-5p	3
hsa-mir-3918-5p	3
hsa-mir-4690-3p	3
hsa-mir-636-5p	3
hsa-mir-3126-5p	3
hsa-mir-1268a-5p	3
hsa-mir-186-3p	3
hsa-mir-4682-5p	3
hsa-mir-4700-3p	3
hsa-mir-5690-5p	3
hsa-mir-3139-5p	3
hsa-mir-3170-3p	3
hsa-mir-548x-2-3p	3
hsa-mir-548l-3p	3
hsa-mir-3150a-3p	3
hsa-mir-1181-5p	3
hsa-mir-939-3p	3
hsa-mir-548l-5p	3
hsa-mir-4761-3p	3
hsa-mir-492-5p	3
hsa-mir-616-3p	3
hsa-mir-548ay-3p	3
hsa-mir-3131-5p	3
hsa-mir-532-3p	3
hsa-mir-7845-3p	3
hsa-mir-2276-3p	3
hsa-mir-3672-3p	3
hsa-mir-642b-5p	3
hsa-mir-4496-3p	3
hsa-mir-4467-5p	3
hsa-mir-584-3p	3
hsa-mir-3116-1-3p	3
hsa-mir-6859-2-5p	3
hsa-mir-4786-5p	3
hsa-mir-502-3p	3
hsa-mir-4755-5p	3
hsa-mir-3181-5p	3
hsa-mir-4677-5p	3
hsa-mir-3622a-5p	3
hsa-mir-345-3p	3
hsa-mir-3175-3p	3
hsa-mir-3154-5p	2
hsa-mir-12127-3p	2
hsa-mir-505-5p	2
hsa-mir-6503-3p	2
hsa-mir-3116-1-5p	2
hsa-mir-5089-3p	2
hsa-mir-4804-5p	2
hsa-mir-6895-3p	2
hsa-mir-6859-2-3p	2
hsa-mir-4431-5p	2
hsa-mir-1915-5p	2
hsa-mir-4507-3p	2
hsa-mir-3198-1-3p	2
hsa-mir-660-3p	2
hsa-mir-614-5p	2
hsa-mir-6780a-3p	2
hsa-mir-491-3p	2
hsa-mir-548ai-3p	2
hsa-mir-302b-3p	2
